ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
1187,8.625,0.312,70000,86000,21,0.193,1.19,0.023,0.022,0.019,0.046,0.02,0.008,0.012,0.014,0.041,0.399,X42
1195,8.625,0.188,58000,75500,35.2,0.208,0.747,0.015,0.008,0.06,0.005,0.025,0.006,0.039,0.047,0.018,0.344,X52
1195,8.625,0.188,69000,81500,7.1,0.208,0.747,0.015,0.008,0.06,0.005,0.025,0.006,0.039,0.047,0.018,0.344,X52
1196,6.625,0.188,61000,75500,36,0.176,0.79,0.006,0.019,0.157,0.027,0.039,0.011,0.029,0.01,0.001,0.32,X52
1199,12.75,0.312,57000,87000,37.2,0.28,1.08,0.019,0.014,0.036,0.013,0.016,0.005,0.01,0.014,0.001,0.466,X42
1201,16,0.438,38500,64000,40.4,0.205,0.429,0.022,0.006,0.022,0.015,0.018,0.005,0.016,0.021,0.001,0.284,Grade B
1201,16,0.438,40900,63000,42,0.196,0.423,0.018,0.005,0.021,0.01,0.018,0.005,0.016,0.021,0.001,0.274,Grade B
1201,16,0.438,42200,63500,41.2,0.218,0.392,0.022,0.006,0.008,0.002,0.031,0.002,0.007,0.009,0.001,0.291,Grade B
1201,16,0.438,42300,68500,36.9,0.319,0.515,0.044,0.012,0.025,0.018,0.035,0.005,0.016,0.022,0.001,0.415,Grade B
1201,16,0.438,43000,66500,41.2,0.271,0.459,0.027,0.007,0.025,0.014,0.019,0.006,0.017,0.023,0.001,0.355,Grade B
1200,8.625,0.219,61000,75000,25.3,0.248,0.732,0.027,0.011,0.009,0.001,0.033,0.008,0.035,0.094,0.001,0.387,X46
1203,6.625,0.219,60000,76764,26.5,0.076,0.945,0.006,0.014,0.224,0.012,0.088,0.092,0.327,0.433,0.002,0.32,X42
1205,8.625,0.219,57000,68000,30.2,0.14,0.462,0.019,0.009,0.151,0.023,0.008,0.004,0.011,0.008,0.032,0.221,X52
1207,8.625,0.375,52500,63000,29.9,0.177,0.805,0.017,0.006,0.005,0.001,0.017,0.003,0.009,0.01,0.001,0.316,X42
1207,8.625,0.375,55500,61500,3.8,0.177,0.805,0.017,0.006,0.005,0.001,0.017,0.003,0.009,0.01,0.001,0.316,X42
1206,12.75,0.172,53000,65000,32.4,0.222,0.89,0.021,0.006,0.006,0.008,0.103,0.012,0.023,0.027,0.001,0.397,X52
1206,12.75,0.172,59500,79500,26,0.273,1.13,0.015,0.008,0.01,0.006,0.06,0.008,0.017,0.021,0.001,0.477,X52
1211,6.625,0.375,45100,71500,39.6,0.245,0.542,0.014,0.009,0.012,0.004,0.026,0.008,0.021,0.003,0.001,0.344,X42
1210,8.625,0.277,43500,66500,31.8,0.255,0.65,0.031,0.012,0.023,0.002,0.024,0.005,0.019,0.019,0.001,0.372,Grade B
1212,6.625,0.156,49200,67500,35.5,0.183,0.953,0.016,0.008,0.008,0.001,0.04,0.006,0.02,0.052,0.001,0.356,X46
1212,6.625,0.156,59000,73000,18.4,0.183,0.953,0.016,0.008,0.008,0.001,0.04,0.006,0.02,0.052,0.001,0.356,X46
1213,8.625,0.219,56000,71500,30.3,0.241,0.893,0.017,0.011,0.017,0.002,0.022,0.017,0.023,0.034,0.001,0.401,Grade B
1216,6.625,0.141,67500,84500,31.1,0.223,0.834,0.019,0.004,0.011,0.013,0.115,0.027,0.101,0.193,0.001,0.41,X56
1216,6.625,0.141,68000,85000,31.4,0.218,0.844,0.014,0.006,0.01,0.012,0.09,0.017,0.056,0.105,0.001,0.391,X56
1218,12.75,0.265,51500,68500,29.4,0.142,0.68,0.02,0.007,0.005,0.002,0.048,0.007,0.047,0.047,0.001,0.273,X52
1215,10.75,0.188,44700,62900,29.1,0.244,0.708,0.026,0.009,0.011,0.005,0.024,0.018,0.003,0.011,0,0.373,Grade B
1215,10.75,0.188,47900,71000,34.1,0.21,0.848,0.031,0.015,0.09,0.003,0.015,0.005,0.069,0.047,0.001,0.363,Grade B
