ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
146,24,0.25,60500,82500,27,0.3,0.93,0.02,0.012,0.068,0.003,0.039,0.008,0.061,0.27,0.002,0.4868667,X52
148,24,0.25,62500,82500,28,0.24,0.8,0.024,0.019,0.07,0.001,0.026,0.002,0.43,0.29,0.002,0.4271333,X52
153,10.75,0.281,55400,75600,24,0.25,0.84,0.03,0.012,0.094,0.002,0.054,0.009,0.068,0.26,0.002,0.4248667,X42
165,10,0.188,40800,60000,17,0.12,0.54,0.027,0.01,0.051,0.01,0.017,0.003,0.008,0.017,0,0.2156667,Grade A
163,10,0.188,47900,53500,25,0.1,0.48,0.032,0.009,0.062,0.005,0.02,0.003,0.008,0.018,0,0.1863333,Grade A
160,8.625,0.188,35500,53000,35,0.087,0.44,0.038,0.01,0.032,0.012,0.021,0.009,0.017,0.041,0,0.1702,Grade A
169,10.75,0.188,58500,83000,23.3,0.24,1.18,0.022,0.013,0.25,0.003,0.036,0.015,0.073,0.1,0.004,0.459,X52
169,10.75,0.188,62500,86000,22.5,0.24,1.17,0.019,0.012,0.25,0.005,0.043,0.015,0.063,0.11,0.004,0.46,X52
169,10.75,0.188,69500,86000,24,0.24,1.18,0.022,0.013,0.25,0.003,0.036,0.015,0.073,0.1,0.004,0.459,X52
169,10.75,0.188,72000,87500,21,0.24,1.17,0.019,0.012,0.25,0.005,0.043,0.015,0.063,0.11,0.004,0.46,X52
170,28,0.281,58000,76500,30.6,0.2,1.19,0.024,0.014,0.042,0.002,0.031,0.009,0.012,0.063,0.003,0.4119333,X52
171,14,0.25,46800,69500,29,0.21,0.46,0.026,0.009,0.12,0.002,0.025,0.007,0.07,0.18,0.003,0.3099333,Grade B
172,6.625,0.128,70400,89900,28,0.26,0.7,0.018,0.009,0.003,0.001,0.014,0.004,0.008,0.009,0.003,0.3924,X52
173,22,0.25,61000,89000,26,0.27,1.06,0.023,0.03,0.15,0.003,0.038,0.01,0.069,0.26,0.004,0.479,X52
173,22,0.25,63000,89000,22,0.27,1.06,0.023,0.03,0.15,0.003,0.038,0.01,0.069,0.26,0.004,0.479,X52
174,30,0.375,55800,82600,28,0.27,1.08,0.025,0.013,0.026,0.004,0.022,0.006,0.031,0.04,0.003,0.4609334,X52
174,30,0.375,56600,82500,28,0.27,1.08,0.025,0.013,0.026,0.004,0.022,0.006,0.031,0.04,0.003,0.4609334,X52
175,10.75,0.203,71600,88100,19.4,0.19,0.91,0.02,0.01,0.015,0.007,0.011,0.006,0.008,0.008,0.025,0.3465333,X52
179,8.625,0.156,56000,80500,32,0.29,1.18,0.022,0.011,0.009,0.008,0.027,0.011,0.034,0.077,0.003,0.5022666,X52
184,36,0.375,79500,94500,28,0.18,1.42,0.007,0.02,0.34,0.063,0.016,0.007,0.013,0.017,0.048,0.4240667,X56
184,36,0.375,99000,109000,16,0.18,1.42,0.007,0.02,0.34,0.063,0.016,0.007,0.013,0.017,0.048,0.4240667,X56
186,16,0.281,58200,71000,25,0.23,0.9,0.027,0.016,0.004,0.018,0.024,0.008,0.069,0.075,0.002,0.3962,X52
188,26,0.312,73000,90500,26,0.22,1.09,0.021,0.01,0.015,0.007,0.009,0.012,0.031,0.045,0.025,0.4115333,X60
189,28,0.281,61000,81000,26,0.21,1.29,0.019,0.018,0.063,0.001,0.022,0.011,0.019,0.068,0.003,0.4382,X52
190,12.75,0.33,42800,63500,38,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,43000,71000,34,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,44200,74500,36,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,45100,63500,38,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,46000,73000,35,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,46800,71000,34,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,46800,69500,35,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,48100,74000,35.5,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,48100,74000,37,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
190,12.75,0.33,48900,73500,36.5,0.24,0.57,0.022,0.01,0.12,0.018,0.034,0.006,0.02,0.05,0,0.3478667,X42
191,20,0.23,60100,82000,26,0.28,1.08,0.015,0.008,0.006,0.001,0.054,0.012,0.022,0.035,0.002,0.4774,X52
192,12.75,0.219,73500,90000,21,0.11,1.5,0.006,0.016,0.23,0.018,0.021,0.002,0.011,0.022,0.054,0.382,X65
195,6.625,0.219,61500,73000,27,0.21,0.48,0.018,0.014,0.13,0.021,0.025,0.012,0.019,0.058,0.001,0.3027333,X42
200,10.75,0.307,54500,79500,27,0.15,0.68,0.016,0.016,0.004,0.001,0.042,0.008,0.017,0.021,0.001,0.2760667,X46
199,10.75,0.279,43500,79500,27,0.29,0.85,0.018,0.013,0.17,0.016,0.022,0.012,0.024,0.038,0.002,0.443,X46
197,10.75,0.279,51000,83500,24,0.29,0.91,0.021,0.015,0.16,0.017,0.023,0.013,0.023,0.033,0.002,0.453,X46
198,10.75,0.25,62000,81500,24,0.28,0.71,0.022,0.008,0.13,0.019,0.02,0.01,0.045,0.19,0.002,0.4202,X46
196,12.75,0.25,50500,66000,21,0.27,0.78,0.03,0.012,0.003,0.001,0.028,0.011,0.036,0.13,0.002,0.4190667,X42
202,6.625,0.188,58500,73500,27,0.22,0.65,0.021,0.005,0.024,0.015,0.036,0.018,0.07,0.17,0.003,0.3553333,X42
203,10.75,0.279,54000,75500,28,0.26,0.88,0.023,0.007,0.005,0.02,0.026,0.012,0.018,0.035,0.002,0.4182,X46
204,20,0.25,45900,62500,34.5,0.22,0.76,0.022,0.009,0.004,0.011,0.013,0.008,0.009,0.016,0.002,0.3527333,Grade B
204,20,0.25,49700,65000,35.7,0.22,0.76,0.022,0.009,0.004,0.011,0.013,0.008,0.009,0.016,0.002,0.3527333,Grade B
204,20,0.25,51500,66500,29,0.22,0.76,0.022,0.009,0.004,0.011,0.013,0.008,0.009,0.016,0.002,0.3527333,Grade B
205,10.75,0.203,55500,77000,27,0.19,1.03,0.018,0.012,0.22,0.054,0.024,0.01,0.008,0.01,0.002,0.3768667,X52
206,12.75,0.25,54000,74500,23,0.19,0.75,0.011,0.008,0.006,0.001,0.16,0.007,0.008,0.27,0.002,0.3673333,X46
208,16,0.25,53000,73000,31,0.25,0.77,0.02,0.012,0.005,0.03,0.027,0.007,0.009,0.016,0.002,0.387,X52
208,16,0.25,55000,73000,30,0.27,0.86,0.021,0.016,0.004,0.022,0.023,0.007,0.01,0.022,0.002,0.4218667,X52
208,16,0.25,56000,76000,30,0.27,0.89,0.022,0.011,0.004,0.017,0.019,0.016,0.013,0.02,0.002,0.4279333,X52
211,12.75,0.25,47900,66000,22.4,0.26,0.79,0.02,0.012,0.012,0.004,0.033,0.012,0.032,0.075,0.003,0.4082,X42
216,14,0.25,75500,87000,22,0.064,1.03,0.02,0.006,0.024,0.042,0.013,0.009,0.011,0.02,0.063,0.2425333,X65
217,8.625,0.203,48700,65000,25,0.23,0.541,0.027,0.008,0.008,0.015,0.019,0.009,0.031,0.055,0.002,0.3317,Grade B
219,12.75,0.25,46100,62500,27,0.16,0.66,0.018,0.005,0.009,0.001,0.13,0.004,0.008,0.24,0.002,0.3135333,X46
219,12.75,0.25,47600,69500,29,0.25,0.83,0.019,0.007,0.005,0.002,0.15,0.005,0.013,0.26,0.002,0.4379333,X46
219,12.75,0.25,49400,69000,29.7,0.23,0.68,0.012,0.005,0.009,0.001,0.136,0.004,0.008,0.234,0.002,0.3876667,X46
219,12.75,0.25,49800,70500,26.1,0.26,0.69,0.013,0.005,0.005,0,0.14,0.004,0.008,0.25,0.001,0.4212,X46
219,12.75,0.25,51500,71500,21.9,0.22,0.71,0.015,0.005,0.006,0.001,0.15,0.005,0.011,0.27,0.002,0.3884667,X46
219,12.75,0.25,51500,68000,24.9,0.21,0.64,0.014,0.004,0.008,0.001,0.12,0.004,0.008,0.24,0.001,0.3582,X46
219,12.75,0.25,53500,73000,25.2,0.32,0.78,0.016,0.005,0.007,0.001,0.154,0.005,0.01,0.279,0.002,0.5014666,X46
219,12.75,0.25,53500,71000,28,0.22,0.63,0.016,0.005,0.005,0.001,0.147,0.009,0.028,0.158,0.002,0.3688,X46
219,12.75,0.25,54000,72000,28,0.27,0.83,0.012,0.005,0.004,0.001,0.141,0.006,0.01,0.208,0.002,0.4526667,X46
219,12.75,0.25,54500,70000,18.8,0.25,0.57,0.015,0.005,0.004,0.001,0.118,0.004,0.009,0.201,0.002,0.3836,X46
219,12.75,0.25,56000,73500,21.4,0.26,0.76,0.018,0.005,0.015,0.001,0.15,0.008,0.015,0.3,0.002,0.4396667,X46
219,12.75,0.25,57000,72500,26,0.253,0.784,0.015,0.008,0.007,0.004,0.161,0.007,0.017,0.282,0.003,0.4376,X46
219,12.75,0.25,60000,79000,22.8,0.29,0.81,0.015,0.005,0.005,0.003,0.174,0.011,0.032,0.359,0.002,0.4884667,X46
232,24,0.375,35100,51500,42,0.042,0.32,0.011,0.006,0.002,0.002,0.023,0.008,0.055,0.112,0.002,0.1128667,Grade A
233,4.5,0.237,72000,75500,26,0.064,0.859,0.006,0.008,0.202,0.037,0.033,0.01,0.021,0.054,0.024,0.2219667,X42
236,26,0.281,54500,76000,32,0.255,1.049,0.022,0.017,0.029,0.004,0.036,0.009,0.024,0.04,0.003,0.4437,X52
237,24,0.375,37000,53500,34,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.04,0.124,0.001,0.1420667,Grade A
237,24,0.375,41700,52500,44,0.064,0.38,0.021,0.009,0.056,0.002,0.013,0.005,0.04,0.124,0.001,0.1420667,Grade A
384,10.75,0.344,49500,62000,25,0.202,0.461,0.02,0.013,0.025,0.032,0.018,0.007,0.03,0.057,0.001,0.2896333,Grade B
238,28,0.281,55000,74500,30,0.199,1.072,0.018,0.006,0.033,0,0.025,0,0.021,0.036,0.006,0.3868667,X52
240,8.625,0.188,50000,73500,29,0.257,1.04,0.02,0.014,0.019,0.017,0.022,0.005,0.015,0.041,0.002,0.4402667,X52
240,8.625,0.188,51000,72750,34.5,0.257,1.04,0.02,0.014,0.019,0.017,0.022,0.005,0.015,0.041,0.002,0.4402667,X52
242,20,0.25,54500,79500,29,0.269,0.981,0.027,0.022,0.02,0.003,0.031,0.007,0.02,0.033,0.002,0.4440333,X52
392,8.625,0.322,55000,67500,28,0.25,0.724,0.024,0.01,0.008,0.007,0.026,0.007,0.039,0.141,0.002,0.3894667,X42
391,8.625,0.322,56000,66000,31,0.216,0.689,0.02,0.007,0.006,0.007,0.026,0.006,0.039,0.16,0.002,0.3507,X42
393,8.625,0.322,56500,65500,29,0.218,0.719,0.033,0.013,0.009,0.009,0.019,0.005,0.031,0.128,0.002,0.3534333,X42
390,8.625,0.322,58000,67500,24,0.227,0.696,0.033,0.009,0.008,0.013,0.015,0.005,0.033,0.185,0.002,0.3617333,X42
245,12.75,0.312,58100,81500,29,0.285,0.96,0.025,0.009,0.025,0.008,0.017,0.007,0.015,0.038,0.003,0.4537333,X42
246,16,0.25,39800,61500,33,0.132,0.451,0.015,0.006,0.004,0,0.018,0.003,0.012,0.035,0.001,0.2145,Grade B
252,12.75,0.219,54500,70000,30,0.199,1.04,0.028,0.009,0.015,0.007,0.022,0.007,0.011,0.027,0.014,0.3812667,X52
253,12.75,0.375,62500,73500,34,0.04,1.17,0.005,0.011,0.207,0.024,0.025,0.02,0.054,0.119,0.036,0.2563333,X52
255,10.75,0.188,61500,79500,25,0.18,0.931,0.016,0.006,0.028,0.004,0.028,0.014,0.029,0.045,0.038,0.3489,X52
255,10.75,0.188,69500,79000,26,0.18,0.931,0.016,0.006,0.028,0.004,0.028,0.014,0.029,0.045,0.038,0.3489,X52
256,4.5,0.156,49500,69000,36,0.288,0.63,0.015,0.005,0.018,0.004,0.026,0.011,0.01,0.006,0.002,0.4016666,X42
257,6.625,0.188,57000,71000,33,0.149,0.685,0.019,0.008,0.004,0.001,0.049,0.027,0.082,0.113,0.002,0.2915667,Grade B
258,6.625,0.125,62500,82500,31,0.187,0.723,0.013,0.004,0.017,0.034,0.052,0.024,0.065,0.104,0.002,0.3437667,X60
259,8.625,0.188,64000,93500,24,0.28,1.21,0.02,0.032,0.048,0.001,0.019,0.016,0.063,0.432,0.003,0.5222667,X52
260,18,0.25,52500,80500,27,0.338,0.517,0.03,0.036,0.069,0.003,0.039,0.007,0.026,0.054,0.001,0.4387,X42
510,6.625,0.188,57000,73000,26,0.271,0.57,0.022,0.007,0.008,0.007,0.04,0.02,0.086,0.203,0.002,0.397,X42
511,6.625,0.156,54000,69500,26,0.206,0.544,0.038,0.014,0.057,0.005,0.027,0.01,0.046,0.178,0.002,0.319,X42
264,20,0.25,53500,68500,23,0.278,0.841,0.016,0.009,0.028,0.001,0.04,0.009,0.015,0.017,0.002,0.4305,Grade B
264,20,0.25,56500,73500,28,0.237,0.949,0.022,0.016,0.087,0.001,0.019,0.009,0.011,0.012,0.002,0.403,Grade B
265,8.625,0.156,61500,82000,30,0.252,0.943,0.013,0.011,0.009,0.006,0.046,0.015,0.054,0.113,0.002,0.4329,X46
266,14,0.25,60500,80000,31,0.237,1.33,0.02,0.009,0.013,0.005,0.015,0.014,0.012,0.012,0.03,0.4732667,X60
587,10.75,0.25,54000,67000,28,0.177,0.616,0.015,0.006,0.003,0.001,0.023,0.005,0.016,0.058,0.002,0.29,X42
269,8.625,0.277,32400,51000,50,0.096,0.414,0.033,0.01,0.015,0.022,0.012,0.005,0.023,0.024,0.001,0.1715333,Bessemer
270,36,0.375,73750,96500,28,0.26,1.37,0.021,0.014,0.027,0.001,0.038,0.015,0.024,0.041,0.015,0.5040666,X65
270,36,0.375,74000,96500,28,0.26,1.37,0.021,0.014,0.027,0.001,0.038,0.015,0.024,0.041,0.015,0.5040666,X65
401,8.625,0.322,36100,49000,38,0.037,0.361,0.021,0.061,0.003,0.001,0.005,0.005,0.005,0.012,0.002,0.1007,Class II
273,8.625,0.203,49600,64000,31,0.201,0.557,0.021,0.006,0.008,0.001,0.016,0.013,0.034,0.042,0.002,0.3049,Grade B
272,6.625,0.156,56000,72500,29,0.237,0.582,0.027,0.008,0.058,0.003,0.043,0.017,0.078,0.246,0.002,0.368,X42
272,6.625,0.156,58000,74500,28,0.234,0.575,0.023,0.006,0.058,0.003,0.04,0.017,0.077,0.296,0.002,0.3663,X42
274,20,0.312,46800,77000,30,0.317,0.659,0.03,0.008,0.035,0.017,0.021,0.011,0.021,0.022,0.002,0.4363,X42
275,22,0.344,53000,79500,30,0.29,0.951,0.016,0.05,0.007,0.001,0.036,0.012,0.084,0.058,0.002,0.4679666,X46
277,6.625,0.188,49100,63000,37,0.184,0.536,0.025,0.008,0.004,0.003,0.029,0.023,0.094,0.167,0.003,0.3013333,Grade B
277,6.625,0.188,49900,66000,36,0.186,0.668,0.032,0.011,0.008,0.001,0.048,0.022,0.073,0.134,0.003,0.3253333,Grade B
277,6.625,0.188,52000,67000,34,0.177,0.721,0.032,0.007,0.003,0.001,0.033,0.018,0.101,0.101,0.003,0.3210333,Grade B
277,6.625,0.188,53000,70500,33,0.253,0.775,0.039,0.009,0.003,0.001,0.035,0.019,0.11,0.11,0.003,0.4080333,Grade B
277,6.625,0.188,54500,69000,31,0.15,0.751,0.015,0.006,0.003,0.001,0.029,0.023,0.09,0.157,0.012,0.3022333,Grade B
277,6.625,0.188,55000,70000,31,0.216,0.794,0.046,0.009,0.003,0.001,0.035,0.019,0.109,0.109,0.002,0.3740667,Grade B
284,10.75,0.188,50500,69000,30,0.153,0.55,0.018,0.007,0.008,0.009,0.038,0.011,0.048,0.163,0.002,0.2687333,X52
284,10.75,0.188,54500,69500,32,0.192,0.76,0.02,0.005,0.027,0.006,0.021,0.011,0.038,0.063,0.025,0.3322,X52
284,10.75,0.188,54500,71000,33,0.191,0.85,0.019,0.008,0.035,0.001,0.03,0.007,0.016,0.033,0.028,0.3437333,X52
284,10.75,0.188,54500,71000,33,0.173,0.82,0.018,0.01,0.038,0.003,0.035,0.012,0.032,0.042,0.023,0.3244,X52
284,10.75,0.188,54500,72500,30,0.196,0.93,0.03,0.021,0.024,0.003,0.039,0.01,0.028,0.04,0.027,0.3657333,X52
284,10.75,0.188,55000,75000,32,0.185,1.04,0.015,0.009,0.024,0,0.032,0.011,0.025,0.045,0.031,0.372,X52
284,10.75,0.188,55000,71500,30,0.195,0.89,0.016,0.006,0.018,0.003,0.027,0.011,0.03,0.044,0.026,0.3562666,X52
284,10.75,0.188,55000,69500,31,0.158,0.78,0.024,0.007,0.025,0,0.029,0.012,0.031,0.045,0.024,0.3016667,X52
284,10.75,0.188,56000,73000,27,0.192,0.86,0.015,0.007,0.036,0.001,0.03,0.007,0.016,0.033,0.03,0.3464,X52
284,10.75,0.188,56000,71000,27,0.157,0.78,0.025,0.007,0.025,0,0.029,0.012,0.031,0.046,0.024,0.3007333,X52
284,10.75,0.188,56500,73500,27,0.167,0.083,0.017,0.006,0.037,0.003,0.023,0.008,0.027,0.026,0.03,0.1909667,X52
284,10.75,0.188,57500,70500,29,0.169,0.9,0.025,0.003,0.036,0.001,0.026,0.011,0.027,0.049,0.034,0.3318667,X52
284,10.75,0.188,58000,71500,29,0.173,0.81,0.024,0.011,0.031,0.002,0.021,0.011,0.026,0.04,0.03,0.3192,X52
284,10.75,0.188,58000,75000,30,0.195,1,0.031,0.008,0.03,0.002,0.028,0.011,0.029,0.035,0.029,0.3741333,X52
284,10.75,0.188,58500,73500,27,0.167,0.82,0.022,0.01,0.036,0.002,0.02,0.011,0.026,0.039,0.03,0.3146,X52
284,10.75,0.188,59000,74500,28,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.034,0.043,0.025,0.3564,X52
284,10.75,0.188,59000,74500,28,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.034,0.043,0.025,0.3564,X52
284,10.75,0.188,59500,70500,29,0.182,0.81,0.021,0.011,0.034,0.002,0.021,0.011,0.026,0.04,0.03,0.3282,X52
284,10.75,0.188,60500,73500,30,0.162,0.85,0.017,0.005,0.026,0,0.03,0.012,0.037,0.041,0.029,0.3176667,X52
284,10.75,0.188,61500,80000,29,0.168,1.03,0.024,0.013,0.029,0,0.039,0.011,0.03,0.046,0.028,0.3551333,X52
284,10.75,0.188,62000,78500,27,0.189,0.103,0.019,0.012,0.03,0.001,0.039,0.011,0.03,0.046,0.03,0.2216333,X52
284,10.75,0.188,62000,79500,26,0.189,0.94,0.033,0.009,0.023,0,0.051,0.007,0.017,0.021,0.035,0.3602,X52
284,10.75,0.188,63000,77000,27,0.172,0.78,0.02,0.007,0.019,0.002,0.027,0.012,0.036,0.038,0.03,0.3151333,X52
308,20,0.358,54500,87000,30,0.26,1.2,0.017,0.018,0.136,0.013,0.014,0.008,0.011,0.012,0.002,0.4665333,X52
308,20,0.358,57000,87500,23,0.26,1.2,0.017,0.018,0.136,0.013,0.014,0.008,0.011,0.012,0.002,0.4665333,X52
316,8.625,0.188,58500,66000,39,0.071,0.995,0.008,0.011,0.008,0.033,0.03,0.005,0.009,0.016,0.017,0.2461,X52
320,10.75,0.365,34900,53000,40,0.08,0.413,0.012,0.018,0.004,0.001,0.03,0.003,0.011,0.028,0.003,0.1582333,Grade B
322,10.75,0.203,51500,71000,35,0.224,0.681,0.016,0.011,0.007,0.037,0.026,0.005,0.012,0.033,0.001,0.3469,X46
323,18,0.25,45600,69000,37,0.281,1.22,0.013,0.005,0.015,0.007,0.021,0.005,0.016,0.021,0.002,0.4924,X52
326,16,0.25,56000,79500,25,0.307,1.09,0.019,0.015,0.065,0.003,0.023,0.008,0.02,0.034,0.002,0.4988667,X52
328,12.75,0.203,51500,70000,27,0.19,0.601,0.032,0.017,0.238,0.027,0.042,0.01,0.053,0.101,0.003,0.3110333,X46
330,8.625,0.203,53000,78500,33,0.29,0.507,0.021,0.011,0.113,0.006,0.013,0.014,0.006,0.013,0.002,0.3813667,X42
404,12.75,0.188,58000,74000,29,0.261,0.936,0.025,0.008,0.005,0.011,0.047,0.008,0.019,0.026,0.002,0.4314,X52
247,8.625,0.219,60500,75500,25,0.24,0.89,0.019,0.006,0.013,0.004,0.032,0.011,0.03,0.041,0,0.4020666,X46
331,12.75,0.203,61500,74000,31,0.255,1.12,0.022,0.01,0.013,0.006,0.031,0.012,0.016,0.011,0.014,0.4526667,X42
333,12.75,0.25,65000,79000,31,0.201,0.737,0.014,0.008,0.014,0.008,0.023,0.006,0.036,0.054,0.028,0.3358333,X52
332,12.75,0.25,72500,91000,24,0.204,0.729,0.016,0.006,0.01,0.009,0.02,0.004,0.033,0.03,0.03,0.3347,X52
334,3.5,0.188,74500,84000,30,0.196,0.85,0.003,0.016,0.225,0.039,0.028,0.005,0.007,0.016,0.002,0.3464,Grade B
335,18,0.312,63500,78000,27,0.199,1.1,0.018,0.01,0.06,0.002,0.031,0.004,0.015,0.076,0.006,0.3962,X52
336,20,0.219,64000,81500,33,0.249,1.08,0.015,0.012,0.005,0.006,0.035,0.008,0.0343,0.026,0.002,0.44962,X52
329,12.75,0.25,60000,76000,33,0.267,0.917,0.016,0.011,0.005,0.011,0.029,0.008,0.012,0.031,0.002,0.4303,X52
337,16,0.25,55500,71500,31,0.247,0.848,0.021,0.007,0.03,0.006,0.042,0.012,0.032,0.06,0.004,0.4056666,X52
338,4.5,0.337,48500,67500,29,0.227,0.78,0.031,0.017,0.045,0.043,0.048,0.017,0.045,0.027,0.003,0.3752,Grade B
405,16,0.28,56500,72500,27,0.249,0.856,0.037,0.016,0.004,0.011,0.027,0.007,0.023,0.078,0.002,0.4054,X52
342,12.75,0.312,67000,84000,28,0.217,0.72,0.017,0.005,0.002,0.001,0.023,0.138,1.09,0.558,0.004,0.4882667,X60
341,12.75,0.312,71000,94500,28,0.194,0.73,0.012,0.005,0.004,0.001,0.025,0.131,1.07,0.618,0.003,0.4696,X60
343,12.75,0.281,62000,84000,30,0.214,1.15,0.021,0.016,0.019,0.005,0.035,0.016,0.06,0.073,0.034,0.4293333,X60
346,12.75,0.312,55500,77500,30,0.332,1.01,0.036,0.011,0.026,0.007,0.017,0.008,0.015,0.039,0.003,0.5095333,X42
344,10.75,0.25,54000,69000,30,0.219,0.769,0.027,0.011,0.088,0.001,0.015,0.007,0.021,0.046,0.001,0.3562333,X46
347,12.75,0.219,68500,82000,25,0.058,1.02,0.016,0.008,0.024,0.052,0.024,0.006,0.017,0.037,0.061,0.2382,X65
348,30,0.375,43200,79500,36,0.272,1.1,0.018,0.015,0.029,0.003,0.045,0.009,0.027,0.038,0.003,0.4710667,X52
348,30,0.375,45700,80500,39,0.272,1.1,0.018,0.015,0.029,0.003,0.045,0.009,0.027,0.038,0.003,0.4710667,X52
348,30,0.375,52000,80000,37,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.079,0.162,0.003,0.451,X52
348,30,0.375,53000,79000,38,0.252,1.12,0.022,0.012,0.036,0.002,0.046,0.008,0.015,0.029,0.003,0.453,X52
348,30,0.375,53000,79500,35,0.252,1.12,0.022,0.012,0.036,0.002,0.046,0.008,0.015,0.029,0.003,0.453,X52
348,30,0.375,57500,81000,36,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.079,0.162,0.003,0.451,X52
349,8.625,0.188,53900,74500,28,0.237,0.97,0.021,0.012,0.053,0.004,0.024,0.005,0.009,0.014,0.003,0.4066,X52
349,8.625,0.188,58000,77500,19,0.24,0.99,0.021,0.012,0.047,0.007,0.019,0.006,0.031,0.093,0.001,0.4186667,X52
349,8.625,0.188,59000,74000,22,0.233,0.98,0.022,0.013,0.046,0.015,0.02,0.007,0.031,0.093,0.001,0.4104,X52
349,8.625,0.188,60500,72500,28,0.227,0.95,0.016,0.018,0.04,0.005,0.016,0.004,0.008,0.011,0.001,0.391,X52
349,8.625,0.188,63000,79500,28,0.234,1.29,0.024,0.016,0.051,0.001,0.041,0.011,0.052,0.145,0.002,0.4733333,X52
349,8.625,0.188,63500,81500,30,0.271,1.13,0.023,0.016,0.048,0.001,0.027,0.009,0.047,0.149,0.003,0.4804,X52
356,12.75,0.25,49900,65000,32,0.165,0.689,0.015,0.004,0.004,0.001,0.14,0.009,0.023,0.192,0.003,0.3243667,X46
340,6.625,0.312,46400,53500,37,0.045,0.415,0.015,0.005,0.003,0.001,0.013,0.006,0.021,0.071,0.002,0.1243,Bessemer
411,8.625,0.188,58000,75500,33,0.247,0.838,0.016,0.005,0.003,0,0.018,0.005,0.024,0.019,0.003,0.3943333,X42
363,16,0.308,57000,66500,35,0.132,1.14,0.012,0.009,0.024,0.002,0.031,0.007,0.022,0.024,0.018,0.3332667,X52
365,6.625,0.188,57500,70000,26,0.198,0.418,0.028,0.006,0.069,0,0.077,0.033,0.098,0.259,0.002,0.3134667,X42
365,6.625,0.188,60500,73500,29,0.198,0.418,0.028,0.006,0.069,0,0.077,0.033,0.098,0.259,0.002,0.3134667,X42
366,4.5,0.188,59500,71500,27,0.215,0.786,0.025,0.008,0.005,0.003,0.013,0.01,0.023,0.031,0.002,0.3546,Grade B
370,4.5,0.337,40300,69500,29,0.235,0.498,0.017,0.008,0.157,0.019,0.034,0.014,0.034,0.066,0.001,0.3342667,Grade B
369,8.625,0.25,61000,77000,23,0.239,0.879,0.018,0.009,0.014,0.003,0.011,0.008,0.009,0.017,0.003,0.391,X42
526,24,0.375,60500,80500,33,0.29,1.15,0.023,0.011,0.042,0.026,0.015,0.007,0.005,0.009,0.003,0.488,X52
526,24,0.375,63000,85000,32,0.23,1.16,0.02,0.009,0.046,0.012,0.017,0.007,0.007,0.01,0.002,0.431,X52
526,24,0.375,67000,84000,35,0.31,1.15,0.018,0.011,0.048,0.015,0.017,0.006,0.006,0.009,0.003,0.512,X52
371,8.625,0.203,56000,71500,34,0.206,0.903,0.02,0.009,0.014,0.004,0.024,0.007,0.018,0.025,0.001,0.366,X42
371,8.625,0.203,57000,73500,33,0.206,0.903,0.02,0.009,0.014,0.004,0.024,0.007,0.018,0.025,0.001,0.366,X42
372,8.625,0.188,52500,72000,32,0.205,0.869,0.024,0.008,0.006,0.003,0.028,0.005,0.022,0.016,0.002,0.3591667,X42
368,12.75,0.375,54500,86000,28,0.281,0.648,0.01,0.012,0.232,0.03,0.082,0.016,0.026,0.022,0.002,0.412,X52
373,8.625,0.219,54500,72000,26,0.231,0.44,0.024,0.009,0.031,0.033,0.031,0.01,0.026,0.04,0.002,0.3169333,Grade B
374,4,0.188,64000,77500,29,0.217,0.563,0.016,0.004,0.012,0.02,0.07,0.02,0.057,0.128,0.002,0.3413667,X42
378,20,0.5,37400,64500,43,0.255,0.631,0.024,0.007,0.031,0.006,0.017,0.004,0.009,0.012,0.001,0.3659666,Grade B
415,12.75,0.688,48000,69000,37,0.248,0.599,0.021,0.006,0.137,0.02,0.018,0.019,0.013,0.013,0.003,0.357,Grade B
412,6.625,0.3,47000,58000,38,0.108,0.384,0.016,0.009,0.008,0.005,0.025,0.004,0.011,0.058,0.001,0.182,Grade B
