Struct_ID, OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Pipe_Grade
90,-0.673706016,-0.2,-0.22739726,0.673825969,0.21630094,0.964285714,-0.716129032,0.541339771,-0.989949749,-0.069264069,-0.773584906,-0.145454545,-0.875,-0.934693878,0.256410256,-0.975,-0.928994083,-0.967479675,0.36,-0.130434783,-0.85,7
91,-0.673706016,-0.2,-0.22739726,0.736903523,0.561128527,0.964285714,-0.716129032,0.541339771,-0.989949749,-0.069264069,-0.773584906,-0.145454545,-0.875,-0.934693878,0.256410256,-0.975,-0.928994083,-0.967479675,0.36,-0.130434783,-0.85,7
92,-0.533954462,-0.2,-0.402739726,-0.46157,-0.285266458,-0.178571429,0.348387097,-0.255280628,-0.768844221,-0.887445887,-0.905660377,-0.927272727,-0.890625,-0.991836735,-1,-0.968181818,-0.936883629,-0.967479675,-0.52,-0.97826087,-0.7,3
93,-0.533954462,-0.2,-0.402739726,-0.430031223,-0.222570533,0.017857143,0.632258065,-0.287869644,-0.788944724,-0.779220779,-0.962264151,-0.909090909,-0.932291667,-0.983673469,-1,-0.972727273,-0.885601578,-0.918699187,-0.44,-0.97826087,-0.8,3
94,-0.533954462,-0.2,-0.402739726,-0.430031223,-0.300940439,-0.178571429,0.348387097,-0.255280628,-0.768844221,-0.887445887,-0.905660377,-0.927272727,-0.890625,-0.991836735,-1,-0.968181818,-0.936883629,-0.967479675,-0.52,-0.97826087,-0.7,3
95,-0.533954462,-0.2,-0.402739726,-0.42056959,-0.206896552,-0.178571429,0.987096774,-0.207000604,-0.658291457,-0.887445887,-0.886792453,-0.981818182,-0.880208333,-0.991836735,-0.974358974,-0.965909091,-0.932938856,-0.967479675,-0.44,-0.97826087,-0.7,3
96,-0.533954462,-0.2,-0.402739726,-0.389030813,-0.191222571,-0.178571429,0.987096774,-0.207000604,-0.658291457,-0.887445887,-0.886792453,-0.981818182,-0.880208333,-0.991836735,-0.974358974,-0.965909091,-0.932938856,-0.967479675,-0.44,-0.97826087,-0.7,3
97,-0.533954462,-0.2,-0.402739726,-0.382723058,0.043887147,-0.178571429,0.64516129,-0.110440555,-0.809045226,-0.32034632,-0.886792453,-0.163636364,-0.84375,-0.991836735,-0.974358974,-0.963636364,-0.92504931,-0.967479675,-0.92,-0.97826087,-0.7,3
98,-0.533954462,-0.2,-0.402739726,-0.341722648,-0.191222571,-0.178571429,0.606451613,-0.207000604,-0.75879397,-0.878787879,-0.886792453,-0.981818182,-0.885416667,-1,-0.974358974,-0.965909091,-0.932938856,-0.967479675,-0.44,-0.97826087,-0.7,3
99,-0.533954462,-0.2,-0.402739726,-0.329107137,-0.018808777,-0.178571429,0.477419355,0.167169584,-0.809045226,-0.822510823,-0.867924528,-0.854545455,-0.901041667,-1,-0.974358974,-0.975,-0.944773176,-0.983739837,-0.68,-0.97826087,-0.75,3
