ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Fake Elongation,C,Mn,S,P,Ni,Cu,Nb,Pipe_Vintage,Grade_Name
194,0.020372093,0.219,10.75,51000,66500,25.77028166,0.218,0.591,0.024,0.01,0.018,0.04,0.001,1952,Grade B
244,0.043478261,0.375,8.625,57000,74500,27.76788584,0.227,0.69,0.016,0.008,0.007,0.009,0.001,1964,Grade B
259,0.041777778,0.188,4.5,59500,71500,32.23426194,0.215,0.786,0.025,0.008,0.023,0.031,0.002,1972,Grade B
258,0.025391304,0.219,8.625,58731,72953,37.82555574,0.229,0.435,0.038,0.01,0.029,0.036,0.001,1946,Grade B
125,0.03257971,0.281,8.625,46500,66000,25.34998101,0.064,0.386,0.05,0.101,0.006,0.004,0.001,1930,Grade B
156,0.032115942,0.277,8.625,48300,76500,34.51222596,0.178,1.16,0.015,0.018,0.011,0.019,0.001,1952,Grade B
187,0.017488372,0.188,10.75,50500,71000,38.83274494,0.159,0.476,0.016,0.011,0.096,0.129,0.001,1956,Grade B
173,0.0195,0.312,16,49700,77000,32.12693156,0.302,1.07,0.012,0.003,0.043,0.058,0.001,1979,Grade B
102,0.028985507,0.25,8.625,43500,79500,15.50381833,0.284,0.92,0.021,0.006,0.015,0.033,0.002,1952,Grade B
99,0.028985507,0.25,8.625,42800,72500,16.81804888,0.25,0.84,0.023,0.007,0.009,0.012,0.001,1952,Grade B
86,0.043169811,0.286,6.625,41800,64000,33.65834552,0.186,0.437,0.017,0.004,0.008,0.012,0.001,1947,Grade B
207,0.018883721,0.203,10.75,52000,70000,33.80570941,0.219,0.583,0.021,0.013,0.015,0.018,0.001,1957,Grade B
214,0.029411765,0.375,12.75,53000,67000,47.832059,0.28,0.55,0.02,0.018,0.008,0.008,0.001,1984,Grade B
66,0.042264151,0.28,6.625,39400,61000,25.33910888,0.197,0.665,0.041,0.018,0.139,0.182,0.001,1970,Grade B
62,0.037333333,0.322,8.625,38600,64500,20.12091301,0.295,0.442,0.026,0.006,0.012,0.026,0.001,1955,Grade B
