name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
61,52000,80000,1957,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.024,0.002,0.003,0.011,0
62,53000,79000,1957,0.252,1.12,0.022,0.036,0.012,0.002,0.046,0.008,0.003,0.015,0.029,0.003,0.002,0.003,0.006,0
63,53000,79500,1957,0.252,1.12,0.022,0.036,0.012,0.002,0.046,0.008,0.003,0.015,0.029,0.003,0.002,0.003,0.006,0
64,55800,82600,1952,0.24,0.98,0.027,0.02,0.011,0.006,0.026,0.009,0.003,0.044,0.041,0.006,0.002,0.003,0.008,0
65,55800,82600,1952,0.27,1.08,0.025,0.026,0.013,0.004,0.022,0.006,0.003,0.031,0.04,0.006,0.002,0.003,0.008,0
66,56600,82500,1952,0.24,0.98,0.027,0.02,0.011,0.006,0.026,0.009,0.003,0.044,0.041,0.006,0.002,0.003,0.008,0
67,56600,82500,1952,0.27,1.08,0.025,0.026,0.013,0.004,0.022,0.006,0.003,0.031,0.04,0.006,0.002,0.003,0.008,0
68,57500,81000,1957,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.024,0.002,0.003,0.011,0
69,69000,92700,1968,0.27,1.18,0.015,0.034,0.008,0,0.01,0.008,0.001,0.037,0.076,0.008,0.002,0.009,0,0
70,71000,98500,1968,0.27,1.18,0.015,0.034,0.008,0,0.01,0.008,0.001,0.037,0.076,0.008,0.002,0.009,0,0
71,87500,103100,2016,0.064,1.61,0.001,0.308,0.008,0.025,0.088,0.069,0.032,0.117,0.239,0.011,0.014,0.072,0.008,0
72,35100,51500,1948,0.042,0.32,0.011,0.002,0.006,0.002,0.023,0.008,0.001,0.055,0.112,0.018,0.002,0.002,0.016,1
73,36300,56000,1948,0.099,0.49,0.026,0.045,0.011,0.003,0.024,0.006,0.001,0.049,0.097,0.022,0.002,0.001,0.016,1
74,37000,53500,1948,0.064,0.38,0.021,0.056,0.009,0.002,0.013,0.005,0.001,0.04,0.124,0.029,0.002,0.001,0.015,1
75,37400,56000,1948,0.099,0.49,0.026,0.045,0.011,0.003,0.024,0.006,0.001,0.049,0.097,0.022,0.002,0.001,0.016,1
76,41700,52500,1948,0.064,0.38,0.021,0.056,0.009,0.002,0.013,0.005,0.001,0.04,0.124,0.029,0.002,0.001,0.015,1
77,54000,79000,1952,0.265,1.01,0.019,0.04,0.013,0.002,0.068,0.018,0,0.079,0.186,0.036,0.001,0.001,0.007,0
78,60500,80500,1959,0.29,1.15,0.023,0.042,0.011,0.026,0.015,0.007,0.003,0.005,0.009,0.001,0.008,0.003,0.006,0
79,62500,87000,1952,0.289,1.2,0.02,0.048,0.011,0.002,0.04,0.02,0,0.079,0.217,0.049,0.001,0.001,0.007,0
80,63000,85000,1959,0.23,1.16,0.02,0.046,0.009,0.012,0.017,0.007,0.003,0.007,0.01,0.001,0.006,0.002,0.006,0
