ID,Yield_Strength,Tensile_Strength,C,Mn,Nb,Pipe_Vintage,Pipe_Grade
205,43200,79500,2.72E-01,1.10E+00,3.00E-03,1968,5
206,53000,78500,2.90E-01,5.07E-01,2.00E-03,1968,3
207,61500,74000,2.55E-01,1.12E+00,1.40E-02,1968,3
208,60000,76000,2.67E-01,9.17E-01,2.00E-03,1968,5
209,64000,81500,2.49E-01,1.08E+00,2.00E-03,1968,5
210,55500,71500,2.47E-01,8.48E-01,4.00E-03,1968,5
211,56500,72500,2.49E-01,8.56E-01,2.00E-03,1955,5
212,45700,80500,2.72E-01,1.10E+00,3.00E-03,1968,5
213,48500,67500,2.27E-01,7.80E-01,3.00E-03,1968,2
214,71000,94500,1.94E-01,7.30E-01,3.00E-03,1962,6
215,67000,84000,2.17E-01,7.20E-01,4.00E-03,1943,6
216,62000,84000,2.14E-01,1.15E+00,3.40E-02,1955,6
217,54000,69000,2.19E-01,7.69E-01,1.00E-03,1967,4
218,55500,77500,3.32E-01,1.01E+00,3.00E-03,1950,3
219,68500,82000,5.80E-02,1.02E+00,6.10E-02,1992,7
220,53000,79000,2.52E-01,1.12E+00,3.00E-03,1968,5
221,53000,79500,2.52E-01,1.12E+00,3.00E-03,1968,5
222,57500,81000,2.43E-01,1.06E+00,3.00E-03,1968,5
223,53900,74500,2.37E-01,9.70E-01,3.00E-03,1955,5
224,58000,77500,2.40E-01,9.90E-01,1.00E-03,1957,5
225,59000,74000,2.33E-01,9.80E-01,1.00E-03,1957,5
226,60500,72500,2.27E-01,9.50E-01,1.00E-03,1957,5
227,63000,79500,2.34E-01,1.29E+00,2.00E-03,1957,5
228,63500,81500,2.71E-01,1.13E+00,3.00E-03,1957,5
229,57000,66500,1.32E-01,1.14E+00,1.80E-02,1957,5
230,60500,80500,2.90E-01,1.15E+00,3.00E-03,1961,5
231,63000,85000,2.30E-01,1.16E+00,2.00E-03,1961,5
232,49900,65000,1.65E-01,6.89E-01,3.00E-03,1955,4
233,67000,84000,3.10E-01,1.15E+00,3.00E-03,1961,5
234,57500,70000,1.98E-01,4.18E-01,2.00E-03,1988,3
235,60500,73500,1.98E-01,4.18E-01,2.00E-03,1988,3
236,59500,71500,2.15E-01,7.86E-01,2.00E-03,1972,2
237,61500,82000,3.06E-01,1.02E+00,1.00E-03,1967,5
238,61000,77000,2.39E-01,8.79E-01,3.00E-03,1970,3
239,40300,69500,2.35E-01,4.98E-01,1.00E-03,1970,2
240,56000,71500,2.06E-01,9.03E-01,1.00E-03,1970,3
241,57000,73500,2.06E-01,9.03E-01,1.00E-03,1970,3
242,52500,72000,2.05E-01,8.69E-01,2.00E-03,1970,3
243,54500,72000,2.31E-01,4.40E-01,2.00E-03,1946,2
244,64000,77500,2.17E-01,5.63E-01,2.00E-03,1981,3
245,37400,64500,2.55E-01,6.31E-01,1.00E-03,1955,2
246,69000,92700,2.70E-01,1.18E+00,9.00E-03,1972,6
247,71000,98500,2.70E-01,1.18E+00,9.00E-03,1983,6
248,49500,62000,2.02E-01,4.61E-01,1.00E-03,1955,2
249,58000,67500,2.27E-01,6.96E-01,2.00E-03,1955,3
250,56000,66000,2.16E-01,6.89E-01,2.00E-03,1955,3
251,55000,67500,2.50E-01,7.24E-01,2.00E-03,1955,3
252,56500,65500,2.18E-01,7.19E-01,2.00E-03,1955,3
253,63500,78000,1.99E-01,1.10E+00,6.00E-03,1968,5
254,52000,80000,2.43E-01,1.06E+00,3.00E-03,1968,5
255,58000,75500,2.47E-01,8.38E-01,3.00E-03,1955,3
256,47000,58000,1.08E-01,3.84E-01,1.00E-03,1938,2
257,54000,59500,1.08E-01,3.84E-01,1.00E-03,1938,2
258,48000,69000,2.48E-01,5.99E-01,3.00E-03,1938,2
259,55500,77500,2.16E-01,9.33E-01,2.00E-03,1938,4
260,61500,81500,3.14E-01,1.05E+00,2.00E-03,1962,5
261,56000,72500,2.11E-01,6.49E-01,1.00E-03,1962,5
262,52000,72000,2.67E-01,1.13E+00,2.00E-03,1938,4
263,78000,87000,1.76E-01,7.59E-01,2.00E-03,1955,6
264,46700,72500,2.53E-01,7.48E-01,2.00E-03,1938,2
265,50500,65000,2.61E-01,7.60E-01,2.00E-03,1938,2
266,48900,70500,2.59E-01,8.41E-01,3.00E-03,1938,4
267,51000,73500,2.46E-01,8.60E-01,3.00E-03,1938,4
268,52500,71500,2.09E-01,8.16E-01,1.00E-03,1971,3
269,47200,66500,2.15E-01,6.56E-01,1.00E-03,1958,4
270,50000,69500,2.28E-01,6.05E-01,1.00E-03,1958,4
271,53500,71500,1.85E-01,6.45E-01,1.00E-03,1958,4
272,55000,80500,2.80E-01,8.72E-01,1.00E-03,1958,4
273,57000,76500,2.93E-01,9.05E-01,1.00E-03,1958,4
274,67500,82500,5.10E-02,1.07E+00,4.00E-02,1969,6
275,78000,83000,5.10E-02,1.07E+00,4.00E-02,1981,6
276,55000,80500,2.68E-01,8.16E-01,2.00E-03,2002,4
277,51500,75000,2.92E-01,8.51E-01,2.00E-03,1949,4
278,52500,76500,2.34E-01,6.99E-01,2.00E-03,1949,4
279,52000,75000,2.46E-01,7.73E-01,2.00E-03,1949,4
280,55500,80000,2.62E-01,8.57E-01,3.00E-03,1949,4
281,47300,70000,2.53E-01,7.90E-01,1.00E-03,1949,3
282,59500,79500,2.43E-01,1.01E+00,3.00E-03,1938,5
283,41500,71000,2.32E-01,4.86E-01,2.00E-03,1949,2
284,48300,74000,2.32E-01,4.86E-01,2.00E-03,1949,2
285,58500,82500,2.62E-01,9.68E-01,3.00E-03,1938,5
286,51500,66000,1.72E-01,1.19E+00,2.10E-02,1962,5
287,49900,68000,2.19E-01,6.78E-01,1.00E-03,1958,4
288,50500,64500,1.78E-01,6.80E-01,1.00E-03,1958,4
289,52000,69000,2.52E-01,8.01E-01,1.00E-03,1958,4
290,52000,67500,2.41E-01,6.59E-01,1.00E-03,1958,4
291,51500,67000,2.11E-01,6.79E-01,2.00E-03,1989,3
292,62000,79000,2.21E-01,7.44E-01,3.00E-03,1968,4
293,60000,76000,2.05E-01,6.86E-01,1.00E-03,1951,3
294,35900,62100,2.35E-01,4.39E-01,1.00E-03,1957,2
295,56500,79000,2.61E-01,9.48E-01,3.00E-03,1971,5
296,53500,64000,1.70E-01,9.87E-01,0.00E+00,1962,5
297,50000,68000,1.94E-01,6.99E-01,2.00E-03,1966,4
298,64500,88000,2.64E-01,9.76E-01,3.00E-03,1959,5
299,55500,75000,2.40E-01,1.06E+00,2.00E-03,1971,5
300,59500,82000,2.66E-01,1.04E+00,3.00E-03,1957,5
301,61000,84000,2.70E-01,1.19E+00,2.00E-03,1957,5
302,52000,83000,2.53E-01,8.71E-01,2.00E-03,1962,3
303,57000,75000,2.06E-01,1.07E+00,5.10E-02,1975,6
304,49700,68500,2.36E-01,4.66E-01,2.00E-03,1962,2
305,68500,88000,7.50E-02,1.47E+00,4.20E-02,1968,7
306,57000,73000,2.71E-01,5.70E-01,2.00E-03,1962,3
307,54000,69500,2.06E-01,5.44E-01,2.00E-03,1962,3
308,54500,86000,2.81E-01,6.48E-01,2.00E-03,1961,5
309,62000,75500,2.55E-01,1.08E+00,1.80E-02,1961,5
310,63000,87000,2.50E-01,1.07E+00,2.00E-03,1961,5
311,48900,74000,2.46E-01,3.53E-01,1.00E-03,1962,2
312,47000,70000,2.55E-01,5.90E-01,1.00E-03,1962,3
313,48400,71000,2.55E-01,5.90E-01,1.00E-03,1962,3
314,48700,76000,2.27E-01,7.95E-01,1.00E-03,1962,2
315,50000,69500,2.81E-01,6.66E-01,3.00E-03,1962,2
316,51000,65500,2.61E-01,5.49E-01,3.00E-03,1962,2
317,52000,66000,2.43E-01,4.85E-01,2.00E-03,1962,2
318,52500,66000,2.07E-01,6.40E-01,6.00E-03,1962,2
319,56500,78000,2.02E-01,1.00E+00,2.00E-03,1962,5
320,51500,66500,2.58E-01,6.80E-01,2.00E-03,1970,5
321,46600,71500,2.07E-01,6.27E-01,3.00E-03,1962,3
322,61500,74000,2.44E-01,7.54E-01,3.00E-03,1968,3
323,49600,82500,2.67E-01,7.80E-01,2.00E-03,1968,4
324,56500,74500,2.16E-01,5.59E-01,4.00E-03,1968,4
325,63000,85000,2.71E-01,1.14E+00,2.00E-03,1968,5
326,63500,90500,2.75E-01,1.15E+00,2.00E-03,1968,5
327,60000,85500,2.72E-01,7.45E-01,3.00E-03,1947,4
328,58000,71500,2.55E-01,5.53E-01,4.00E-03,1948,2
329,57500,74500,2.38E-01,8.38E-01,4.00E-03,1977,2
330,58500,77000,2.30E-01,8.51E-01,4.00E-03,1977,2
331,53500,66500,2.32E-01,7.90E-01,3.00E-03,1960,3
332,57800,83400,2.59E-01,1.13E+00,2.00E-03,1961,5
333,62500,83000,2.69E-01,1.07E+00,4.00E-03,1961,5
334,58000,78500,2.69E-01,1.07E+00,4.00E-03,1961,5
335,60300,78100,2.78E-01,9.82E-01,2.00E-03,1960,5
336,64000,88500,3.01E-01,1.38E+00,2.00E-03,1952,5
337,64500,89500,3.04E-01,1.21E+00,2.00E-03,1960,5
338,64500,89000,2.70E-01,1.13E+00,2.00E-03,1952,5
339,66500,95500,2.78E-01,1.15E+00,2.00E-03,1961,5
340,61000,93500,3.24E-01,1.06E+00,1.00E-03,1961,5
341,64500,96500,3.21E-01,1.08E+00,1.00E-03,1961,5
342,65500,95000,2.83E-01,1.05E+00,2.00E-03,1961,5
343,66500,93500,2.87E-01,1.16E+00,1.00E-03,1961,5
344,54000,67000,1.77E-01,6.16E-01,2.00E-03,1961,3
345,52500,72000,2.15E-01,7.34E-01,2.00E-03,1954,3
346,54000,68000,1.77E-01,4.70E-01,2.00E-03,1960,5
347,53000,68000,2.25E-01,1.04E+00,1.20E-02,1960,5
348,47400,71000,2.50E-01,6.90E-01,2.00E-03,1952,3
349,59600,85600,2.46E-01,1.03E+00,2.00E-03,1952,5
350,50600,79800,2.52E-01,1.24E+00,2.00E-03,1972,5
351,61500,86000,2.46E-01,1.03E+00,2.00E-03,1960,5
352,59600,91500,2.72E-01,1.07E+00,2.00E-03,1960,5
353,61500,86000,2.88E-01,1.06E+00,1.00E-03,1960,5
354,50500,60500,2.40E-01,5.66E-01,1.00E-03,1961,3
355,52500,68000,1.96E-01,4.58E-01,1.00E-03,1961,2
356,47700,67500,1.64E-01,7.90E-01,1.00E-03,1961,3
357,52000,63000,2.68E-01,4.88E-01,1.00E-03,1961,3
358,43100,69500,2.21E-01,8.05E-01,1.00E-03,1948,3
359,43300,70500,2.21E-01,8.05E-01,1.00E-03,1948,3
360,61500,93500,3.11E-01,1.18E+00,2.00E-03,1960,5
361,77000,83500,7.10E-02,1.21E+00,3.90E-02,1994,7
362,63500,88000,3.40E-01,8.58E-01,1.00E-03,1954,2
363,65900,99400,2.99E-01,1.16E+00,2.00E-03,1964,5
364,66200,96300,2.81E-01,1.07E+00,2.00E-03,1961,5
365,59000,86500,2.74E-01,1.23E+00,3.00E-03,1954,5
366,60000,85000,2.88E-01,1.18E+00,3.00E-03,1961,5
367,61000,85500,2.68E-01,1.17E+00,3.00E-03,1961,5
368,61500,88500,2.66E-01,1.17E+00,4.00E-03,1961,5
