ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,Pipe_Grade
192,0.037333333,0.322,8.625,38600,64500,1955,0.295,0.442,0.001,2
193,0.037333333,0.322,8.625,38600,64500,1955,0.295,0.442,0.001,2
194,0.037333333,0.322,8.625,40000,64000,1964,0.164,0.559,0.001,2
195,0.037333333,0.322,8.625,40400,55000,1905,0.089,0.4,0.001,2
196,0.037333333,0.322,8.625,42400,64500,1939,0.203,0.588,0.001,2
197,0.037333333,0.322,8.625,48900,72000,2002,0.186,0.562,0.001,3
198,0.037333333,0.322,8.625,50600,65000,1957,0.182,0.636,0.001,2
199,0.037333333,0.322,8.625,51000,63000,1957,0.215,0.639,0.001,2
200,0.037333333,0.322,8.625,52500,66200,1957,0.213,0.636,0.001,2
201,0.037333333,0.322,8.625,53500,71000,1970,0.246,0.745,0.001,2
202,0.037333333,0.322,8.625,55000,67500,1952,0.25,0.724,0.002,3
203,0.037333333,0.322,8.625,56000,66000,1952,0.216,0.689,0.002,3
204,0.037333333,0.322,8.625,56500,65500,1952,0.218,0.719,0.002,3
205,0.037333333,0.322,8.625,58000,67500,1952,0.227,0.696,0.002,3
206,0.037333333,0.322,8.625,61500,69000,2002,0.046,0.974,0.012,3
207,0.037333333,0.322,8.625,62500,69500,2002,0.047,0.983,0.013,3
208,0.0200625,0.321,16,64500,82000,2009,0.136,0.632,0.028,5
209,0.036521739,0.315,8.625,32796,50860,1953,0.199,0.573,0.002,1
210,0.012019231,0.3125,26,64500,82000,1951,0.23,1.03,0,5
211,0.009176471,0.312,34,61100,84300,1967,0.28,1.19,0,5
212,0.00975,0.312,32,56500,78000,1961,0.202,1,0.002,5
213,0.0104,0.312,30,46200,62800,1953,0.087,0.48,0,5
214,0.0104,0.312,30,56800,82100,1969,0.243,1.29,0.001,5
215,0.0104,0.312,30,57700,83200,1969,0.195,1.25,0.001,5
216,0.0104,0.312,30,61500,80700,1969,0.202,1.15,0.001,5
217,0.0104,0.312,30,66300,93500,1969,0.207,1.34,0.001,5
218,0.012,0.312,26,62000,82550,1951,0.25,0.91,0.003,5
219,0.012,0.312,26,66500,85500,1951,0.243,1.11,0.001,5
220,0.012,0.312,26,67000,85500,1951,0.261,0.99,0.001,5
221,0.012,0.312,26,73000,90500,1969,0.22,1.09,0.025,6
222,0.013,0.312,24,57000,80500,1948,0.239,1.005,0.001,5
223,0.013,0.312,24,59000,84500,1948,0.309,1.15,0.001,5
224,0.013,0.312,24,61000,82500,1948,0.246,1.175,0.001,5
225,0.013,0.312,24,62500,84000,1948,0.246,1.01,0.001,5
226,0.013,0.312,24,63000,87500,1948,0.244,1.205,0.001,5
227,0.013,0.312,24,63500,87000,1948,0.285,1.12,0.001,5
228,0.014181818,0.312,22,41500,71000,1949,0.232,0.486,0.002,2
229,0.014181818,0.312,22,48300,74000,1949,0.232,0.486,0.002,2
230,0.014181818,0.312,22,51500,72000,1949,0.233,0.74,0.001,4
231,0.014181818,0.312,22,52000,75000,1949,0.246,0.773,0.002,4
232,0.014181818,0.312,22,55500,80000,1949,0.262,0.857,0.003,4
233,0.0156,0.312,20,37800,61000,1929,0.039,0.37,0.002,1
234,0.0156,0.312,20,38300,60000,1929,0.044,0.35,0.002,1
235,0.0156,0.312,20,46500,62000,1947,0.241,0.59,0.002,3
236,0.0156,0.312,20,46600,68500,1971,0.165,1.06,0.001,2
237,0.0156,0.312,20,46800,77000,1953,0.317,0.659,0.002,3
238,0.0156,0.312,20,48900,70500,1950,0.259,0.841,0.003,4
239,0.0156,0.312,20,49000,68500,1950,0.248,0.928,0.001,4
240,0.0156,0.312,20,51000,73500,1950,0.246,0.86,0.003,4
241,0.0156,0.312,20,53000,73500,1987,0.224,0.09,0.001,2
242,0.0156,0.312,20,53000,75500,1976,0.165,1.06,0.001,3
243,0.0156,0.312,20,56500,83000,2003,0.226,1.11,0.001,3
244,0.0156,0.312,20,60500,78000,1971,0.225,0.94,0.018,2
245,0.0156,0.312,20,71300,89400,1994,0.069,0.99,0.051,7
246,0.0156,0.312,20,85500,99500,2013,0.055,1.47,0.085,8
247,0.0156,0.312,20,86000,96000,2013,0.055,1.47,0.085,8
248,0.017333333,0.312,18,55900,68650,1970,0.21,1.02,0.021,5
249,0.017333333,0.312,18,56500,67500,1970,0.2,1.1,0.021,5
250,0.017333333,0.312,18,63500,78000,1969,0.199,1.1,0.006,5
251,0.0192,0.312,16.25,55500,71500,1974,0.233,0.78,0.002,5
