ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS_TS_Ratio,C_Mn_Ratio,WT_OD_YS,WT_OD_C_Mn,YS_C,YS_Mn,WT_OD_YS_C,WT_OD_YS_Mn,WT_OD_YS_TS_C_Mn,Pipe_Grade
1225,0.013,0.312,24,60900,82200,1948,0.241,1.14,0.001,0.741,0.211,791.7,2.0573,14677,69426,22896.0,519862,1.52417,5
1226,0.013,0.312,24,60400,82200,1948,0.268,1.06,0.001,0.735,0.253,785.2,2.1272,16187,64024,25252.0,479412,1.56305,5
1227,0.013,0.312,24,64500,84900,1948,0.278,1.01,0.001,0.760,0.275,838.5,2.1025,17931,65145,27972.4,487806,1.59729,5
954,0.013490196,0.172,12.75,53000,65000,1965,0.222,0.89,0.001,0.815,0.249,715.0,0.4333,11766,47170,10118.8,103444,0.35330,5
955,0.013490196,0.172,12.75,59500,79500,1965,0.273,1.13,0.001,0.748,0.242,802.7,0.6765,16244,67235,13969.4,147446,0.50633,5
299,0.013636364,0.3,22,51500,84000,1949,0.276,1.15,0.001,0.613,0.240,702.3,2.0948,14214,59225,21321.0,390885,1.28434,5
661,0.0136875,0.219,16,58500,85000,1961,0.3,1.14,0.001,0.688,0.263,800.7,1.1984,17550,66690,19217.3,233682,0.82476,5
428,0.013888889,0.25,18,45600,69000,1978,0.281,1.22,0.002,0.661,0.230,633.3,1.5427,12814,55632,16017.0,250344,1.01952,5
430,0.013888889,0.25,18,55000,73500,1960,0.173,0.95,0.001,0.748,0.182,763.9,0.7396,9515,52250,11893.8,235125,0.55342,5
431,0.013888889,0.25,18,57500,77500,1960,0.188,0.919,0.001,0.742,0.205,798.6,0.7775,10810,52843,13512.5,237791,0.57684,5
151,0.014333333,0.344,24,64000,91000,1972,0.183,1.41,0.001,0.703,0.130,917.3,2.1303,11712,90240,20144.6,745021,1.49823,5
1255,0.014333333,0.344,24,65947,77332,1972,0.105,1.3,0.001,0.853,0.081,945.2,1.1269,6924,85731,11910.0,707796,0.96103,5
1256,0.014333333,0.344,24,65941,86952,1972,0.186,1.23,0.001,0.758,0.151,945.2,1.8888,12265,81107,21095.8,669623,1.43240,5
957,0.014511628,0.156,10.75,55500,82500,1977,0.254,1.25,0.001,0.673,0.203,805.4,0.5324,14097,69375,10995.7,116342,0.35819,5
