ID,Pipe OD,Pipe WT,Yield_Strength,Tensile_Strength,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Ti,%Nb,Pipe Vintage,Pipe Grade
132,20,0.344,57000,76000,0.25,1.1,0.029,0.016,0.048,0,0.02,0.004,0.001,0.037,0.14,0.002,0,1952,X52
348,30,0.375,57000,82000,0.252,1.12,0.022,0.012,0.036,0.002,0.046,0.008,0.003,0.015,0.029,0.002,0.003,1957,X52
348,30,0.375,57000,82000,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.002,0.003,1957,X52
308,20,0.358,57000,87500,0.26,1.2,0.017,0.018,0.136,0.013,0.014,0.008,0.003,0.011,0.012,0.002,0.002,1949,X52
348,30,0.375,57000,82000,0.272,1.1,0.018,0.015,0.029,0.003,0.045,0.009,0.003,0.027,0.038,0.002,0.003,1957,X52
363,16,0.308,57000,66500,0.132,1.14,0.012,0.009,0.024,0.002,0.031,0.007,0.003,0.022,0.024,0.002,0.018,1967,X52
917,12.75,0.25,57000,79000,0.256,1.16,0.019,0.028,0.034,0.001,0.02,0.008,0.001,0.056,0.396,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.271,1.08,0.032,0.037,0.041,0.001,0.088,0.013,0.002,0.079,0.404,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.249,1.11,0.037,0.028,0.056,0.002,0.053,0.012,0.001,0.084,0.436,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.256,1.15,0.02,0.026,0.035,0.002,0.02,0.009,0.001,0.056,0.39,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.249,1.14,0.028,0.033,0.046,0.001,0.053,0.015,0.001,0.107,0.404,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.255,1.17,0.017,0.026,0.034,0.001,0.021,0.008,0.001,0.054,0.386,0.001,0.001,1961,X52
132,20,0.344,57000,76000,0.27,1.1,0.03,0.012,0.064,0,0.019,0.004,0.002,0.035,0.14,0.002,0.001,1952,X52
132,20,0.344,57000,76000,0.23,0.93,0.032,0.014,0.038,0.001,0.026,0.005,0.001,0.032,0.14,0.002,0,1952,X52
1205,8.625,0.219,57000,68000,0.14,0.462,0.019,0.009,0.151,0.023,0.008,0.004,0,0.011,0.008,0.002,0.032,1979,X52
1223,12.75,0.219,57000,72000,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0,0.014,0.024,0.001,0.001,1962,X52
1223,12.75,0.219,57000,72500,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0,0.014,0.024,0.001,0.001,1962,X52
1223,12.75,0.219,57000,72500,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0,0.014,0.024,0.001,0.001,1962,X52
1205,8.625,0.219,57000,68000,0.118,0.486,0.019,0.014,0.137,0.035,0.011,0.004,0,0.013,0.005,0.002,0.035,1979,X52
1223,12.75,0.219,57000,72000,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0,0.013,0.023,0.001,0.001,1962,X52
1223,12.75,0.219,57000,72500,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0,0.013,0.023,0.001,0.001,1962,X52
1223,12.75,0.219,57000,72500,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0,0.013,0.023,0.001,0.001,1962,X52
917,12.75,0.25,57000,79000,0.253,1.25,0.024,0.034,0.043,0.001,0.03,0.01,0.002,0.145,0.428,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.266,1.19,0.024,0.03,0.034,0.002,0.021,0.008,0.001,0.052,0.385,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.267,1.17,0.015,0.028,0.041,0.001,0.026,0.008,0.001,0.058,0.423,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.278,1.21,0.029,0.027,0.053,0.002,0.058,0.012,0.002,0.079,0.402,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.286,1.25,0.025,0.034,0.043,0.003,0.053,0.011,0.002,0.082,0.412,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.205,1.37,0.037,0.011,0.026,0.002,0.032,0.008,0.002,0.061,0.22,0.001,0.001,1961,X52
917,12.75,0.25,57000,79000,0.282,1.15,0.021,0.029,0.035,0.002,0.02,0.008,0.001,0.05,0.414,0.001,0.001,1961,X52
1310,8.625,0.156,57000,76000,0.206,1.11,0.017,0.01,0.058,0.001,0.02,0.005,0,0.073,0.043,0.001,0.001,1962,X52
1310,8.625,0.156,57000,76000,0.22,1.18,0.018,0.013,0.083,0.001,0.003,0.006,0,0.072,0.05,0.002,0.001,1962,X52
1414,24,0.312,57000,80500,0.285,1.12,0.0215,0.016,0.161,0.0015,0.026,0.016,0,0.108,0.205,0.001,0.001,1948,X52
1414,24,0.312,57000,80500,0.246,1.01,0.0235,0.018,0.119,0.001,0.052,0.0355,0,0.02095,0.224,0.001,0.001,1948,X52
1310,8.625,0.156,57000,76000,0.227,1.1,0.02,0.013,0.021,0.002,0.026,0.006,0,0.028,0.055,0.001,0.001,1962,X52
1310,8.625,0.156,57000,76000,0.264,1.13,0.013,0.012,0.016,0.002,0.024,0.005,0,0.014,0.028,0.001,0.001,1962,X52
1414,24,0.312,57000,80500,0.244,1.205,0.0245,0.0145,0.1485,0.0015,0.026,0.011,0,0.0635,0.179,0.001,0.001,1948,X52
1414,24,0.312,57000,80500,0.239,1.005,0.023,0.0175,0.1355,0.001,0.027,0.008,0,0.0475,0.121,0.001,0.001,1948,X52
1414,24,0.312,57000,80500,0.309,1.15,0.0225,0.0182,0.145,0.001,0.032,0.011,0,0.076,0.182,0.001,0.001,1948,X52
1414,24,0.312,57000,80500,0.246,1.175,0.0185,0.0335,0.1175,0.001,0.036,0.008,0,0.043,0.1535,0.001,0.001,1948,X52
1446,8.625,0.188,57000,77500,0.249,0.82,0.029,0.012,0.093,0.001,0.072,0.017,0,0.082,0.256,0.001,0.001,1967,X52
1446,8.625,0.188,57000,77500,0.255,0.82,0.03,0.012,0.094,0.001,0.072,0.016,0,0.082,0.253,0.001,0.001,1967,X52
1485,20,0.25,57400,78500,0.156,1.07,0.017,0.019,0.037,0.001,0.03,0.009,0,0.048,0.098,0.001,0.024,1967,X52
1485,20,0.25,57400,78500,0.242,1.16,0.018,0.017,0.039,0.001,0.022,0.005,0,0.016,0.036,0.001,0.001,1967,X52
1485,20,0.25,57400,78500,0.157,1.07,0.015,0.019,0.037,0.001,0.03,0.009,0,0.048,0.098,0.001,0.023,1967,X52
123,24,0.25,57500,78500,0.23,0.79,0.025,0.04,0.055,0,0.028,0.005,0.001,0.04,0.19,0.001,0,1953,X52
348,30,0.375,57500,81000,0.252,1.12,0.022,0.012,0.036,0.002,0.046,0.008,0.003,0.015,0.029,0.002,0.003,1957,X52
348,30,0.375,57500,81000,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.002,0.003,1957,X52
284,10.75,0.188,57500,70500,0.167,0.82,0.022,0.01,0.036,0.002,0.02,0.011,0.002,0.026,0.039,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.173,0.81,0.024,0.011,0.031,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.182,0.81,0.021,0.011,0.034,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.169,0.9,0.025,0.003,0.036,0.001,0.026,0.011,0.002,0.027,0.049,0.002,0.034,1970,X52
284,10.75,0.188,57500,70500,0.167,0.083,0.017,0.006,0.037,0.003,0.023,0.008,0.002,0.027,0.026,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.172,0.78,0.02,0.007,0.019,0.002,0.027,0.012,0.002,0.036,0.038,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.162,0.85,0.017,0.005,0.026,0,0.03,0.012,0.002,0.037,0.041,0.002,0.029,1970,X52
284,10.75,0.188,57500,70500,0.192,0.76,0.02,0.005,0.027,0.006,0.021,0.011,0.002,0.038,0.063,0.002,0.025,1970,X52
284,10.75,0.188,57500,70500,0.192,0.86,0.015,0.007,0.036,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.191,0.85,0.019,0.008,0.035,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.028,1970,X52
284,10.75,0.188,57500,70500,0.173,0.82,0.018,0.01,0.038,0.003,0.035,0.012,0.002,0.032,0.042,0.002,0.023,1970,X52
284,10.75,0.188,57500,70500,0.168,1.03,0.024,0.013,0.029,0,0.039,0.011,0.002,0.03,0.046,0.002,0.028,1970,X52
284,10.75,0.188,57500,70500,0.195,1,0.031,0.008,0.03,0.002,0.028,0.011,0.002,0.029,0.035,0.002,0.029,1970,X52
284,10.75,0.188,57500,70500,0.185,1.04,0.015,0.009,0.024,0,0.032,0.011,0.002,0.025,0.045,0.002,0.031,1970,X52
284,10.75,0.188,57500,70500,0.195,0.89,0.016,0.006,0.018,0.003,0.027,0.011,0.002,0.03,0.044,0.002,0.026,1970,X52
284,10.75,0.188,57500,70500,0.189,0.103,0.019,0.012,0.03,0.001,0.039,0.011,0.002,0.03,0.046,0.002,0.03,1970,X52
284,10.75,0.188,57500,70500,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
284,10.75,0.188,57500,70500,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
284,10.75,0.188,57500,70500,0.196,0.93,0.03,0.021,0.024,0.003,0.039,0.01,0.002,0.028,0.04,0.002,0.027,1970,X52
284,10.75,0.188,57500,70500,0.153,0.55,0.018,0.007,0.008,0.009,0.038,0.011,0.001,0.048,0.163,0.002,0.002,1970,X52
284,10.75,0.188,57500,70500,0.158,0.78,0.024,0.007,0.025,0,0.029,0.012,0.002,0.031,0.045,0.002,0.024,1970,X52
284,10.75,0.188,57500,70500,0.157,0.78,0.025,0.007,0.025,0,0.029,0.012,0.002,0.031,0.046,0.002,0.024,1970,X52
284,10.75,0.188,57500,70500,0.189,0.94,0.033,0.009,0.023,0,0.051,0.007,0.002,0.017,0.021,0.002,0.035,1970,X52
348,30,0.375,57500,81000,0.272,1.1,0.018,0.015,0.029,0.003,0.045,0.009,0.003,0.027,0.038,0.002,0.003,1957,X52
670,6.625,0.156,57500,75000,0.144,0.779,0.01,0.02,0.123,0.041,0.032,0.005,0.007,0.018,0.006,0.004,0.014,1979,X52
697,6.625,0.25,57500,74500,0.206,0.796,0.027,0.014,0.118,0.003,0.044,0.01,0.001,0.061,0.114,0.001,0.002,1969,X52
919,20,0.23,57500,76500,0.248,1.16,0.017,0.011,0.036,0.004,0.052,0.009,0.044,0.028,0.022,0.001,0.001,1968,X52
919,20,0.23,57500,76500,0.252,1.17,0.014,0.009,0.011,0.009,0.038,0.027,0.04,0.141,0.016,0.001,0.001,1968,X52
919,20,0.23,57500,76500,0.236,1.22,0.021,0.019,0.019,0.004,0.074,0.01,0.002,0.041,0.03,0.001,0.029,1968,X52
919,20,0.23,57500,76500,0.268,1.12,0.017,0.014,0.015,0.006,0.059,0.012,0.04,0.033,0.028,0.001,0.001,1968,X52
957,16,0.25,57500,78000,0.258,1.19,0.014,0.012,0.022,0.003,0.047,0.009,0.001,0.041,0.066,0.001,0.019,1972,X52
957,16,0.25,57500,78000,0.232,1.15,0.012,0.007,0.013,0.004,0.02,0.007,0.001,0.019,0.018,0.001,0.016,1972,X52
1223,12.75,0.219,57500,72500,0.251,0.967,0.014,0.01,0.007,0.008,0.049,0.007,0,0.014,0.024,0.001,0.001,1962,X52
1223,12.75,0.219,57500,72500,0.243,0.968,0.026,0.01,0.008,0.009,0.045,0.009,0,0.013,0.023,0.001,0.001,1962,X52
1358,18,0.25,57500,77500,0.188,0.919,0.025,0.018,0.314,0.039,0.068,0.015,0,0.056,0.139,0.002,0.001,1960,X52
1358,18,0.25,57500,77500,0.173,0.95,0.026,0.024,0.307,0.033,0.068,0.012,0,0.052,0.125,0.002,0.001,1960,X52
1441,8.625,0.188,57500,68000,0.229,0.83,0.018,0.011,0.017,0.004,0.041,0.003,0,0.009,0.011,0.001,0.001,1968,X52
1441,8.625,0.188,57500,68000,0.188,0.61,0.009,0.008,0.007,0.007,0.014,0.003,0,0.015,0.036,0.001,0.001,1968,X52
1518,8.625,0.188,57500,76700,0.274,0.99,0.012,0.007,0.01,0.005,0.013,0.008,0,0.012,0.091,0.001,0.001,1962,X52
1417,30,0.312,57700,83200,0.202,1.15,0.019,0.015,0.04,0.001,0.035,0.009,0,0.032,0.038,0.001,0.001,1969,X52
1417,30,0.312,57700,83200,0.195,1.25,0.009,0.018,0.021,0.044,0.039,0.007,0.061,0.014,0.008,0.001,0.001,1969,X52
590,10.75,0.188,57800,83400,0.259,1.13,0.018,0.01,0.235,0.004,0.03,0.013,0.003,0.047,0.118,0.003,0.002,1972,X52
103,26,0.3125,58000,75000,0.23,1.03,0.032,0.025,0.06,0,0.13,0.04,0,0.072,0.2,0,0,1951,X52
124,24,0.25,58000,77000,0.22,0.82,0.028,0.019,0.054,0.007,0.035,0.007,0.001,0.035,0.17,0.002,0,1948,X52
125,24,0.25,58000,79000,0.27,0.73,0.017,0.023,0.025,0.005,0.028,0.009,0.001,0.075,0.18,0.002,0,1948,X52
103,26,0.3125,58000,75000,0.24,0.94,0.02,0.026,0.052,0.002,0.017,0.017,0.001,0.041,0.12,0,0.002,1951,X52
103,26,0.3125,58000,75000,0.25,1.09,0.031,0.023,0.078,0,0.023,0.016,0,0.058,0.18,0,0.001,1951,X52
170,28,0.281,58000,76500,0.2,1.19,0.024,0.014,0.042,0.002,0.031,0.009,0.003,0.012,0.063,0.002,0.003,1970,X52
284,10.75,0.188,58000,71500,0.167,0.82,0.022,0.01,0.036,0.002,0.02,0.011,0.002,0.026,0.039,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.167,0.82,0.022,0.01,0.036,0.002,0.02,0.011,0.002,0.026,0.039,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.173,0.81,0.024,0.011,0.031,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.173,0.81,0.024,0.011,0.031,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.182,0.81,0.021,0.011,0.034,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.182,0.81,0.021,0.011,0.034,0.002,0.021,0.011,0.002,0.026,0.04,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.169,0.9,0.025,0.003,0.036,0.001,0.026,0.011,0.002,0.027,0.049,0.002,0.034,1970,X52
284,10.75,0.188,58000,75000,0.169,0.9,0.025,0.003,0.036,0.001,0.026,0.011,0.002,0.027,0.049,0.002,0.034,1970,X52
284,10.75,0.188,58000,71500,0.167,0.083,0.017,0.006,0.037,0.003,0.023,0.008,0.002,0.027,0.026,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.167,0.083,0.017,0.006,0.037,0.003,0.023,0.008,0.002,0.027,0.026,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.172,0.78,0.02,0.007,0.019,0.002,0.027,0.012,0.002,0.036,0.038,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.172,0.78,0.02,0.007,0.019,0.002,0.027,0.012,0.002,0.036,0.038,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.162,0.85,0.017,0.005,0.026,0,0.03,0.012,0.002,0.037,0.041,0.002,0.029,1970,X52
284,10.75,0.188,58000,75000,0.162,0.85,0.017,0.005,0.026,0,0.03,0.012,0.002,0.037,0.041,0.002,0.029,1970,X52
284,10.75,0.188,58000,71500,0.192,0.76,0.02,0.005,0.027,0.006,0.021,0.011,0.002,0.038,0.063,0.002,0.025,1970,X52
284,10.75,0.188,58000,75000,0.192,0.76,0.02,0.005,0.027,0.006,0.021,0.011,0.002,0.038,0.063,0.002,0.025,1970,X52
284,10.75,0.188,58000,71500,0.192,0.86,0.015,0.007,0.036,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.192,0.86,0.015,0.007,0.036,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.191,0.85,0.019,0.008,0.035,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.028,1970,X52
284,10.75,0.188,58000,75000,0.191,0.85,0.019,0.008,0.035,0.001,0.03,0.007,0.002,0.016,0.033,0.002,0.028,1970,X52
284,10.75,0.188,58000,71500,0.173,0.82,0.018,0.01,0.038,0.003,0.035,0.012,0.002,0.032,0.042,0.002,0.023,1970,X52
284,10.75,0.188,58000,75000,0.173,0.82,0.018,0.01,0.038,0.003,0.035,0.012,0.002,0.032,0.042,0.002,0.023,1970,X52
284,10.75,0.188,58000,71500,0.168,1.03,0.024,0.013,0.029,0,0.039,0.011,0.002,0.03,0.046,0.002,0.028,1970,X52
284,10.75,0.188,58000,75000,0.168,1.03,0.024,0.013,0.029,0,0.039,0.011,0.002,0.03,0.046,0.002,0.028,1970,X52
284,10.75,0.188,58000,71500,0.195,1,0.031,0.008,0.03,0.002,0.028,0.011,0.002,0.029,0.035,0.002,0.029,1970,X52
284,10.75,0.188,58000,75000,0.195,1,0.031,0.008,0.03,0.002,0.028,0.011,0.002,0.029,0.035,0.002,0.029,1970,X52
284,10.75,0.188,58000,71500,0.185,1.04,0.015,0.009,0.024,0,0.032,0.011,0.002,0.025,0.045,0.002,0.031,1970,X52
284,10.75,0.188,58000,75000,0.185,1.04,0.015,0.009,0.024,0,0.032,0.011,0.002,0.025,0.045,0.002,0.031,1970,X52
284,10.75,0.188,58000,71500,0.195,0.89,0.016,0.006,0.018,0.003,0.027,0.011,0.002,0.03,0.044,0.002,0.026,1970,X52
284,10.75,0.188,58000,75000,0.195,0.89,0.016,0.006,0.018,0.003,0.027,0.011,0.002,0.03,0.044,0.002,0.026,1970,X52
284,10.75,0.188,58000,71500,0.189,0.103,0.019,0.012,0.03,0.001,0.039,0.011,0.002,0.03,0.046,0.002,0.03,1970,X52
284,10.75,0.188,58000,75000,0.189,0.103,0.019,0.012,0.03,0.001,0.039,0.011,0.002,0.03,0.046,0.002,0.03,1970,X52
284,10.75,0.188,58000,71500,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
284,10.75,0.188,58000,75000,0.185,0.94,0.022,0.012,0.02,0.008,0.034,0.012,0.002,0.034,0.043,0.002,0.025,1970,X52
