ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,YS/TS,C/Mn,WT/OD*YS,WT*OD*C*Mn,YS*C,YS*Mn,WT*YS*C,WT*OD*YS*Mn,WT*OD*YS*TS*C*Mn,Pipe_Grade
332,0.011708333,0.281,24,67000,90000,1964,0.198,1.3,0.012,0.74,0.152,784.5,1.7359,13266,87100,3727.7,587402,1.29229,6
221,0.012,0.312,26,73000,90500,1969,0.22,1.09,0.025,0.81,0.202,876.0,1.9453,16060,79570,5010.7,645472,1.56910,6
31,0.012166667,0.438,36,63500,84500,1970,0.209,1.3,0.041,0.75,0.161,772.6,4.2842,13272,82550,5812.9,1301648,3.21946,6
32,0.012166667,0.438,36,63500,84500,1970,0.209,1.27,0.04,0.75,0.165,772.6,4.1853,13272,80645,5812.9,1271610,3.14517,6
421,0.0125,0.25,20,63500,82500,1975,0.224,1.18,0.027,0.77,0.190,793.8,1.3216,14224,74930,3556.0,374650,1.01723,6
423,0.0125,0.25,20,69500,82000,1968,0.22,1.1,0.014,0.85,0.200,868.8,1.2100,15290,76450,3822.5,382250,1.02555,6
737,0.0126875,0.203,16,56000,72000,1965,0.243,1.22,0.021,0.78,0.199,710.5,0.9629,13608,68320,2762.4,221903,0.74892,6
738,0.0126875,0.203,16,56000,76000,1965,0.257,1.25,0.011,0.74,0.206,710.5,1.0434,14392,70000,2921.6,227360,0.76884,6
739,0.0126875,0.203,16,56500,72000,1965,0.226,1.22,0.019,0.78,0.185,716.8,0.8955,12769,68930,2592.1,223885,0.70275,6
740,0.0126875,0.203,16,57500,75000,1965,0.243,1.22,0.021,0.77,0.199,729.5,0.9629,13973,70150,2836.4,227847,0.73822,6
741,0.0126875,0.203,16,57500,74500,1965,0.221,1.26,0.018,0.77,0.175,729.5,0.9044,12708,72450,2579.6,235318,0.69806,6
742,0.0126875,0.203,16,58000,73500,1965,0.232,1.26,0.019,0.79,0.184,735.9,0.9495,13456,73080,2731.6,237364,0.74923,6
743,0.0126875,0.203,16,58000,74000,1965,0.232,1.26,0.019,0.78,0.184,735.9,0.9495,13456,73080,2731.6,237364,0.74417,6
744,0.0126875,0.203,16,59500,76000,1965,0.218,1.3,0.023,0.78,0.168,754.9,0.9205,12971,77350,2633.1,251233,0.72064,6
745,0.0126875,0.203,16,60500,79000,1965,0.275,1.41,0.025,0.77,0.195,767.6,1.2594,16638,85305,3377.4,277071,0.96449,6
746,0.0126875,0.203,16,61500,79000,1965,0.24,1.32,0.026,0.78,0.182,780.3,1.0290,14760,81180,2996.3,263673,0.80103,6
747,0.0126875,0.203,16,62000,78500,1965,0.215,1.25,0.019,0.79,0.172,786.6,0.8729,13330,77500,2706.0,251720,0.68942,6
748,0.0126875,0.203,16,62000,78000,1965,0.228,1.24,0.021,0.79,0.184,786.6,0.9183,14136,76880,2869.6,249706,0.72991,6
749,0.0126875,0.203,16,62500,84500,1965,0.259,1.35,0.025,0.74,0.192,793.0,1.1357,16188,84375,3286.1,274050,0.83999,6
750,0.0126875,0.203,16,62500,80000,1965,0.231,1.22,0.02,0.78,0.189,793.0,0.9154,14438,76250,2930.8,247660,0.71512,6
751,0.0126875,0.203,16,62500,82500,1965,0.252,1.34,0.028,0.76,0.188,793.0,1.0968,15750,83750,3197.3,272020,0.83090,6
752,0.0126875,0.203,16,63500,88500,1965,0.262,1.33,0.024,0.72,0.197,805.7,1.1318,16637,84455,3377.3,274310,0.81208,6
753,0.0126875,0.203,16,66000,83000,1965,0.218,1.23,0.018,0.80,0.177,837.4,0.8709,14388,81180,2920.8,263673,0.69254,6
1040,0.014127925,0.283,20.03125,68000,84000,1982,0.079,1.01,0.06,0.81,0.078,960.7,0.4523,5372,68680,1520.3,389336,0.36616,6
69,0.014423077,0.375,26,69000,92700,1968,0.27,1.18,0.009,0.74,0.229,995.2,3.1064,18630,81420,6986.3,793845,2.31217,6
70,0.014423077,0.375,26,71000,98500,1968,0.27,1.18,0.009,0.72,0.229,1024.0,3.1064,19170,83780,7188.8,816855,2.23909,6
35,0.0146,0.438,30,77500,109000,1969,0.244,1.37,0.035,0.71,0.178,1131.5,4.3924,18910,106175,8282.6,1395140,3.12306,6
465,0.015625,0.25,16,70500,83000,1993,0.065,1.16,0.04,0.85,0.056,1101.6,0.3016,4583,81780,1145.6,327120,0.25618,6
466,0.015625,0.25,16,73500,88000,1977,0.055,1.05,0.063,0.84,0.052,1148.4,0.2310,4043,77175,1010.6,308700,0.19294,6
48,0.016916667,0.406,24,63300,85900,1962,0.23,1.11,0,0.74,0.207,1070.8,2.4876,14559,70263,5911.0,684643,1.83315,6
680,0.017176471,0.219,12.75,74500,86500,1987,0.06,1.12,0.054,0.86,0.054,1279.6,0.1876,4470,83440,978.9,232985,0.16161,6
162,0.0172,0.344,20,64000,80500,1962,0.227,1.03,0.001,0.80,0.220,1100.8,1.6086,14528,65920,4997.6,453530,1.27890,6
1041,0.0172,0.344,20,64000,81500,1982,0.066,0.97,0.074,0.79,0.068,1100.8,0.4405,4224,62080,1453.1,427110,0.34588,6
829,0.017488372,0.188,10.75,57000,75000,1973,0.206,1.07,0.051,0.76,0.193,996.8,0.4455,11742,60990,2207.5,123261,0.33856,6
345,0.0175625,0.281,16,64500,87500,1975,0.247,1.13,0.02,0.74,0.219,1132.8,1.2549,15932,72885,4476.8,327691,0.92502,6
346,0.0175625,0.281,16,69000,88000,1975,0.238,1.15,0.024,0.78,0.207,1211.8,1.2306,16422,79350,4614.6,356758,0.96487,6
347,0.0175625,0.281,16,72000,96500,1975,0.247,1.37,0.027,0.75,0.180,1264.5,1.5214,17784,98640,4997.3,443485,1.13514,6
472,0.017857143,0.25,14,60500,80000,1975,0.237,1.33,0.03,0.76,0.178,1080.4,1.1032,14339,80465,3584.6,281628,0.83432,6
473,0.017857143,0.25,14,67500,82500,2002,0.051,1.07,0.04,0.82,0.048,1205.4,0.1910,3443,72225,860.6,252788,0.15627,6
478,0.017857143,0.25,14,73000,82000,2002,0.054,1.08,0.041,0.89,0.050,1303.6,0.2041,3942,78840,985.5,275940,0.18172,6
480,0.017857143,0.25,14,77000,86500,2002,0.054,1.08,0.041,0.89,0.050,1375.0,0.2041,4158,83160,1039.5,291060,0.18170,6
481,0.017857143,0.25,14,78000,83000,2002,0.051,1.07,0.04,0.94,0.048,1392.9,0.1910,3978,83460,994.5,292110,0.17949,6
1005,0.018867925,0.125,6.625,62500,82500,1981,0.187,0.723,0.002,0.76,0.259,1179.2,0.1120,11688,45188,1460.9,37421,0.08482,6
1006,0.018867925,0.125,6.625,66000,82000,1983,0.188,0.744,0.001,0.80,0.253,1245.3,0.1158,12408,49104,1551.0,40664,0.09323,6
1007,0.018867925,0.125,6.625,68500,87500,1983,0.192,0.827,0.002,0.78,0.232,1292.5,0.1315,13152,56650,1644.0,46913,0.10294,6
1008,0.018867925,0.125,6.625,68500,75500,1983,0.197,0.742,0.001,0.91,0.265,1292.5,0.1211,13495,50827,1686.8,42091,0.10983,6
1009,0.018867925,0.125,6.625,69200,84200,1983,0.186,0.775,0.001,0.82,0.240,1305.7,0.1194,12871,53630,1608.9,44412,0.09811,6
1010,0.018867925,0.125,6.625,70000,77000,1983,0.195,0.745,0.001,0.91,0.262,1320.8,0.1203,13650,52150,1706.3,43187,0.10937,6
1011,0.018867925,0.125,6.625,70200,77800,1983,0.18,0.69,0.002,0.90,0.261,1324.5,0.1029,12636,48438,1579.5,40113,0.09281,6
1012,0.018867925,0.125,6.625,71700,82100,1983,0.186,0.766,0.002,0.87,0.243,1352.8,0.1180,13336,54922,1667.0,45482,0.10304,6
1013,0.018867925,0.125,6.625,73100,89400,1983,0.194,0.761,0.002,0.82,0.255,1379.2,0.1223,14181,55629,1772.7,46068,0.09997,6
1014,0.018867925,0.125,6.625,77800,87100,1982,0.18,0.715,0.001,0.89,0.252,1467.9,0.1066,14004,55627,1750.5,46066,0.09520,6
1015,0.018867925,0.125,6.625,78000,87000,1982,0.176,0.759,0.002,0.90,0.232,1471.7,0.1106,13728,59202,1716.0,49027,0.09918,6
1016,0.018867925,0.125,6.625,78200,87300,1983,0.185,0.725,0.002,0.90,0.255,1475.5,0.1111,14467,56695,1808.4,46951,0.09949,6
1017,0.018867925,0.125,6.625,82300,90900,1982,0.181,0.763,0.001,0.91,0.237,1552.8,0.1144,14896,62795,1862.0,52002,0.10355,6
1038,0.019117104,0.207,10.828,71000,82000,1992,0.09,1.15,0.04,0.87,0.078,1357.3,0.2320,6390,81650,1322.7,183010,0.20086,6
1039,0.019486516,0.211,10.828,65500,79500,1992,0.084,1.09,0.04,0.82,0.077,1276.4,0.2092,5502,71395,1160.9,163117,0.17235,6
1254,0.019607843,0.25,12.75,74600,99600,1968,0.184,1.01,0.026,0.75,0.182,1462.7,0.5924,13726,75346,3431.6,240165,0.44368,6
956,0.019942029,0.172,8.625,75000,89000,1993,0.059,1.42,0.069,0.84,0.042,1495.7,0.1243,4425,106500,761.1,157993,0.10474,6
389,0.02,0.255,12.75,60500,84500,1970,0.227,1.2,0.023,0.72,0.189,1210.0,0.8856,13734,72600,3502.0,236041,0.63410,6
354,0.022039216,0.281,12.75,62000,84000,1967,0.214,1.15,0.034,0.74,0.186,1366.4,0.8817,13268,71300,3728.3,255450,0.65079,6
293,0.024,0.306,12.75,63000,78000,1972,0.213,1.25,0.031,0.81,0.170,1512.0,1.0388,13419,78750,4106.2,307243,0.83901,6
294,0.024,0.306,12.75,63000,78000,1972,0.213,1.25,0.031,0.81,0.170,1512.0,1.0388,13419,78750,4106.2,307243,0.83901,6
295,0.024,0.306,12.75,63500,80000,1972,0.223,1.32,0.028,0.79,0.169,1524.0,1.1484,14161,83820,4333.1,327024,0.91158,6
296,0.024,0.306,12.75,63500,80000,1972,0.223,1.32,0.028,0.79,0.169,1524.0,1.1484,14161,83820,4333.1,327024,0.91158,6
297,0.024,0.306,12.75,65500,81500,1972,0.205,1.28,0.033,0.80,0.160,1572.0,1.0238,13428,83840,4108.8,327102,0.82277,6
298,0.024,0.306,12.75,65500,81500,1972,0.205,1.28,0.033,0.80,0.160,1572.0,1.0238,13428,83840,4108.8,327102,0.82277,6
268,0.024470588,0.312,12.75,71000,94500,1967,0.194,0.73,0.003,0.75,0.266,1737.4,0.5634,13774,51830,4297.5,206180,0.42327,6
1107,0.024470588,0.312,12.75,78000,89000,1983,0.055,1.06,0.064,0.88,0.052,1908.7,0.2319,4290,82680,1338.5,328901,0.20325,6
1101,0.026980392,0.344,12.75,72000,85500,1983,0.065,1.04,0.061,0.84,0.063,1942.6,0.2965,4680,74880,1609.9,328424,0.24968,6
1132,0.028037383,0.24,8.56,81400,102200,1967,0.223,0.887,0.001,0.80,0.251,2282.2,0.4064,18152,72202,4356.5,148331,0.32366,6
1131,0.02809633,0.245,8.72,82900,104000,1967,0.223,0.881,0.001,0.80,0.253,2329.2,0.4197,18487,73035,4529.2,156032,0.33457,6
1133,0.028205128,0.242,8.58,76700,98000,1967,0.22,0.886,0.001,0.78,0.248,2163.3,0.4047,16874,67956,4083.5,141102,0.31676,6
